Item,Price
SOS008L02P,43.71
SOS005L04P,95.56
SOS003L04P,75.88
SOS002L09P,63.88
SOS001L12P,24.04
SOS500M24P,24.04
SOS250M48P,15.23
SOP001L12P,87.96
POV005L04P,64.1
POV002L09P,73.73
POV001L24P,11.85
POV500M24P,97.29
POP001L12P,84.92
POP015K,29.11
SO0005L04P,26.36
SO0002L09P,26.51
SO0001L12P,37.38
SO0500M24P,57.23
POP005L04P,48.88
POP002L09P,36.21
POP001L12P.1,65.07
POP500M24P,22.55
POPF01L12P,36.29
AT5X5K,42.97
ATN02K12P,51.05
ATN01K24P,80.67
MAR02K12P,27.97
MAR01K24P,56.28
ATWWP002K12P,63.32
ATWWP001K24P,14.18
MASR025K,64.68
MAHS025K,25.35
SE500G24P,15.85
SE200G24P,95.4
ATPPCH5X5K,96.91
ATPA1K24P,82.76
MAPA1K24P,37.42
MAP1K25P,18.79
MAC1K25P,71.58
EEA500G12P,49.61
EEA200G24P,20.98
